date,holiday,title
1987年12月12日,False,
1987年12月13日,False,
1987年12月14日,False,
1987年12月15日,False,
1987年12月16日,False,
1987年12月17日,False,
1987年12月18日,False,
1987年12月19日,False,
1987年12月20日,False,
1987年12月21日,False,
1987年12月22日,False,
1987年12月23日,False,
1987年12月24日,False,
1987年12月25日,False,
1987年12月26日,False,
1987年12月27日,False,
1987年12月28日,False,
1987年12月29日,False,
1987年12月30日,False,
1987年12月31日,False,
1988年1月1日,True,元日
1988年1月2日,False,
1988年1月3日,False,
1988年1月4日,False,
1988年1月5日,False,
1988年1月6日,False,
1988年1月7日,False,
1988年1月8日,False,
1988年1月9日,False,
1988年1月10日,False,
1988年1月11日,False,
1988年1月12日,False,
1988年1月13日,False,
1988年1月14日,False,
1988年1月15日,True,成人の日
1988年1月16日,False,
1988年1月17日,False,
1988年1月18日,False,
1988年1月19日,False,
1988年1月20日,False,
1988年1月21日,False,
1988年1月22日,False,
1988年1月23日,False,
1988年1月24日,False,
1988年1月25日,False,
1988年1月26日,False,
1988年1月27日,False,
1988年1月28日,False,
1988年1月29日,False,
1988年1月30日,False,
1988年1月31日,False,
1988年2月1日,False,
1988年2月2日,False,
1988年2月3日,False,
1988年2月4日,False,
1988年2月5日,False,
1988年2月6日,False,
1988年2月7日,False,
1988年2月8日,False,
1988年2月9日,False,
1988年2月10日,False,
1988年2月11日,True,建国記念の日
1988年2月12日,False,
1988年2月13日,False,
1988年2月14日,False,
1988年2月15日,False,
1988年2月16日,False,
1988年2月17日,False,
1988年2月18日,False,
1988年2月19日,False,
1988年2月20日,False,
1988年2月21日,False,
1988年2月22日,False,
1988年2月23日,False,
1988年2月24日,False,
1988年2月25日,False,
1988年2月26日,False,
1988年2月27日,False,
1988年2月28日,False,
1988年2月29日,False,
1988年3月1日,False,
1988年3月2日,False,
1988年3月3日,False,
1988年3月4日,False,
1988年3月5日,False,
1988年3月6日,False,
1988年3月7日,False,
1988年3月8日,False,
1988年3月9日,False,
1988年3月10日,False,
1988年3月11日,False,
1988年3月12日,False,
1988年3月13日,False,
1988年3月14日,False,
1988年3月15日,False,
1988年3月16日,False,
1988年3月17日,False,
1988年3月18日,False,
1988年3月19日,False,
1988年3月20日,True,春分の日
1988年3月21日,False,
1988年3月22日,False,
1988年3月23日,False,
1988年3月24日,False,
1988年3月25日,False,
1988年3月26日,False,
1988年3月27日,False,
1988年3月28日,False,
1988年3月29日,False,
1988年3月30日,False,
1988年3月31日,False,
1988年4月1日,False,
1988年4月2日,False,
1988年4月3日,False,
1988年4月4日,False,
1988年4月5日,False,
1988年4月6日,False,
1988年4月7日,False,
1988年4月8日,False,
1988年4月9日,False,
1988年4月10日,False,
1988年4月11日,False,
1988年4月12日,False,
1988年4月13日,False,
1988年4月14日,False,
1988年4月15日,False,
1988年4月16日,False,
1988年4月17日,False,
1988年4月18日,False,
